timestamp,session_id,level_number,value
1781385333.986,live_session,1,"(0.0, 0.0)"
1781385333.999,live_session,1,"(0.0, 0.0)"
1781385334.012,live_session,1,"(0.0, 0.0)"
1781385334.025,live_session,1,"(0.0, 0.0)"
1781385334.038,live_session,1,"(0.0, 0.0)"
1781385334.051,live_session,1,"(0.0, 0.0)"
1781385334.064,live_session,1,"(0.0, 0.0)"
1781385334.077,live_session,1,"(0.0, 0.0)"
1781385334.090,live_session,1,"(0.0, 0.0)"
1781385334.102,live_session,1,"(0.0, 0.0)"
1781385334.115,live_session,1,"(0.0, 0.0)"
1781385334.128,live_session,1,"(0.0, 0.0)"
1781385334.141,live_session,1,"(0.0, 0.0)"
1781385334.154,live_session,1,"(0.0, 0.0)"
1781385334.167,live_session,1,"(0.0, 0.0)"
1781385334.180,live_session,1,"(0.0, 0.0)"
1781385334.193,live_session,1,"(0.0, 0.0)"
1781385334.207,live_session,1,"(0.0, 0.0)"
1781385334.220,live_session,1,"(0.0, 0.0)"
1781385334.233,live_session,1,"(0.0, 0.0)"
1781385334.246,live_session,1,"(0.0, 0.0)"
1781385334.259,live_session,1,"(0.0, 0.0)"
1781385334.273,live_session,1,"(0.0, 0.0)"
1781385334.286,live_session,1,"(0.0, 0.0)"
1781385334.299,live_session,1,"(0.0, 0.0)"
1781385334.313,live_session,1,"(0.0, 0.0)"
1781385334.326,live_session,1,"(0.0, 0.0)"
1781385334.339,live_session,1,"(0.0, 0.0)"
1781385334.351,live_session,1,"(0.0, 0.0)"
1781385334.364,live_session,1,"(0.0, 0.0)"
1781385334.378,live_session,1,"(0.0, 0.0)"
1781385334.391,live_session,1,"(0.0, 0.0)"
1781385334.403,live_session,1,"(0.0, 0.0)"
1781385334.416,live_session,1,"(0.0, 0.0)"
1781385334.429,live_session,1,"(0.0, 0.0)"
1781385334.442,live_session,1,"(0.0, 0.0)"
1781385334.455,live_session,1,"(0.0, 0.0)"
1781385334.468,live_session,1,"(0.0, 0.0)"
1781385334.483,live_session,1,"(0.0, 0.0)"
1781385334.495,live_session,1,"(0.0, 0.0)"
1781385334.508,live_session,1,"(0.0, 0.0)"
1781385334.521,live_session,1,"(0.0, 0.0)"
1781385334.533,live_session,1,"(0.0, 0.0)"
1781385334.546,live_session,1,"(0.0, 0.0)"
1781385334.559,live_session,1,"(0.0, 0.0)"
1781385334.572,live_session,1,"(0.0, 0.0)"
1781385334.584,live_session,1,"(0.0, 0.0)"
1781385334.598,live_session,1,"(0.0, 0.0)"
1781385334.611,live_session,1,"(0.0, 0.0)"
1781385334.624,live_session,1,"(0.0, 0.0)"
1781385334.637,live_session,1,"(0.0, 0.0)"
1781385334.656,live_session,1,"(0.0, 0.0)"
1781385334.669,live_session,1,"(0.0, 0.0)"
1781385334.682,live_session,1,"(0.0, 0.0)"
1781385334.695,live_session,1,"(0.0, 0.0)"
1781385334.708,live_session,1,"(0.0, 0.0)"
1781385334.721,live_session,1,"(0.0, 0.0)"
1781385334.734,live_session,1,"(0.0, 0.0)"
1781385334.747,live_session,1,"(0.0, 0.0)"
1781385334.761,live_session,1,"(0.0, 0.0)"
1781385334.774,live_session,1,"(0.0, 0.0)"
1781385334.788,live_session,1,"(0.0, 0.0)"
1781385334.801,live_session,1,"(0.0, 0.0)"
1781385334.814,live_session,1,"(0.0, 0.0)"
1781385334.828,live_session,1,"(0.0, 0.0)"
1781385334.842,live_session,1,"(0.0, 0.0)"
1781385334.856,live_session,1,"(0.0, 0.0)"
1781385334.868,live_session,1,"(0.0, 0.0)"
1781385334.881,live_session,1,"(0.0, 0.0)"
1781385334.895,live_session,1,"(0.0, 0.0)"
1781385334.907,live_session,1,"(0.0, 0.0)"
1781385334.920,live_session,1,"(0.0, 0.0)"
1781385334.933,live_session,1,"(0.0, 0.0)"
1781385334.946,live_session,1,"(0.0, 0.0)"
1781385334.960,live_session,1,"(0.0, 0.0)"
1781385334.973,live_session,1,"(0.0, 0.0)"
1781385334.987,live_session,1,"(0.0, 0.0)"
1781385334.999,live_session,1,"(0.0, 0.0)"
1781385335.012,live_session,1,"(0.0, 0.0)"
1781385335.027,live_session,1,"(0.0, 0.0)"
1781385335.040,live_session,1,"(0.0, 0.0)"
1781385335.053,live_session,1,"(0.0, 0.0)"
1781385335.066,live_session,1,"(0.0, 0.0)"
1781385335.079,live_session,1,"(0.0, 0.0)"
1781385335.094,live_session,1,"(0.0, 0.0)"
1781385335.107,live_session,1,"(0.0, 0.0)"
1781385335.120,live_session,1,"(0.0, 0.0)"
1781385335.133,live_session,1,"(0.0, 0.0)"
1781385335.146,live_session,1,"(0.0, 0.0)"
1781385335.161,live_session,1,"(0.0, 0.0)"
1781385335.173,live_session,1,"(0.0, 0.0)"
1781385335.187,live_session,1,"(0.0, 0.0)"
1781385335.200,live_session,1,"(0.0, 0.0)"
1781385335.213,live_session,1,"(0.0, 0.0)"
1781385335.228,live_session,1,"(0.0, 0.0)"
1781385335.240,live_session,1,"(0.0, 0.0)"
1781385335.254,live_session,1,"(0.0, 0.0)"
1781385335.267,live_session,1,"(0.0, 0.0)"
1781385335.280,live_session,1,"(0.0, 0.0)"
1781385335.293,live_session,1,"(0.0, 0.0)"
1781385335.307,live_session,1,"(0.0, 0.0)"
1781385335.320,live_session,1,"(0.0, 0.0)"
1781385335.333,live_session,1,"(0.0, 0.0)"
1781385335.346,live_session,1,"(0.0, 0.0)"
1781385335.358,live_session,1,"(0.0, 0.0)"
1781385335.371,live_session,1,"(0.0, 0.0)"
1781385335.384,live_session,1,"(0.0, 0.0)"
1781385335.397,live_session,1,"(0.0, 0.0)"
1781385335.411,live_session,1,"(0.0, 0.0)"
1781385335.423,live_session,1,"(0.0, 0.0)"
1781385335.436,live_session,1,"(0.0, 0.0)"
1781385335.449,live_session,1,"(0.0, 0.0)"
1781385335.462,live_session,1,"(0.0, 0.0)"
1781385335.475,live_session,1,"(0.0, 0.0)"
1781385335.488,live_session,1,"(0.0, 0.0)"
1781385335.501,live_session,1,"(0.0, 0.0)"
1781385335.515,live_session,1,"(0.0, 0.0)"
1781385335.528,live_session,1,"(0.0, 0.0)"
1781385335.540,live_session,1,"(0.0, 0.0)"
1781385335.553,live_session,1,"(0.0, 0.0)"
1781385335.566,live_session,1,"(0.0, 0.0)"
1781385335.579,live_session,1,"(0.0, 0.0)"
1781385335.592,live_session,1,"(0.0, 0.0)"
1781385335.605,live_session,1,"(0.0, 0.0)"
1781385335.618,live_session,1,"(0.0, 0.0)"
1781385335.631,live_session,1,"(0.0, 0.0)"
1781385335.644,live_session,1,"(0.0, 0.0)"
1781385335.658,live_session,1,"(0.0, 0.0)"
1781385335.671,live_session,1,"(0.0, 0.0)"
1781385335.683,live_session,1,"(0.0, 0.0)"
1781385335.697,live_session,1,"(0.0, 0.0)"
1781385335.710,live_session,1,"(0.0, 0.0)"
1781385335.723,live_session,1,"(0.0, 0.0)"
1781385335.736,live_session,1,"(0.0, 0.0)"
1781385335.749,live_session,1,"(0.0, 0.0)"
1781385335.762,live_session,1,"(0.0, 0.0)"
1781385335.774,live_session,1,"(0.0, 0.0)"
1781385335.787,live_session,1,"(0.0, 0.0)"
1781385335.800,live_session,1,"(0.0, 0.0)"
1781385335.813,live_session,1,"(0.0, 0.0)"
1781385335.827,live_session,1,"(0.0, 0.0)"
1781385335.840,live_session,1,"(0.0, 0.0)"
1781385335.853,live_session,1,"(0.0, 0.0)"
1781385335.867,live_session,1,"(0.0, 0.0)"
1781385335.880,live_session,1,"(0.0, 0.0)"
1781385335.895,live_session,1,"(0.0, 0.0)"
1781385335.908,live_session,1,"(0.0, 0.0)"
1781385335.920,live_session,1,"(0.0, 0.0)"
1781385335.933,live_session,1,"(0.0, 0.0)"
1781385335.946,live_session,1,"(0.0, 0.0)"
1781385335.960,live_session,1,"(0.0, 0.0)"
1781385335.973,live_session,1,"(0.0, 0.0)"
1781385335.986,live_session,1,"(0.0, 0.0)"
1781385335.999,live_session,1,"(0.0, 0.0)"
1781385336.012,live_session,1,"(0.0, 0.0)"
1781385336.025,live_session,1,"(0.0, 0.0)"
1781385336.039,live_session,1,"(0.0, 0.0)"
1781385336.052,live_session,1,"(0.0, 0.0)"
1781385336.068,live_session,1,"(0.0, 0.0)"
1781385336.082,live_session,1,"(0.0, 0.0)"
1781385336.097,live_session,1,"(0.0, 0.0)"
1781385336.113,live_session,1,"(0.0, 0.0)"
1781385336.127,live_session,1,"(0.0, 0.0)"
1781385336.139,live_session,1,"(0.0, 0.0)"
1781385336.152,live_session,1,"(0.0, 0.0)"
1781385336.165,live_session,1,"(0.0, 0.0)"
1781385336.178,live_session,1,"(0.0, 0.0)"
1781385336.191,live_session,1,"(0.0, 0.0)"
1781385336.204,live_session,1,"(0.0, 0.0)"
1781385336.217,live_session,1,"(0.0, 0.0)"
1781385336.231,live_session,1,"(0.0, 0.0)"
1781385336.244,live_session,1,"(0.0, 0.0)"
1781385336.256,live_session,1,"(0.0, 0.0)"
1781385336.269,live_session,1,"(0.0, 0.0)"
1781385336.282,live_session,1,"(0.0, 0.0)"
1781385336.295,live_session,1,"(0.0, 0.0)"
1781385336.309,live_session,1,"(0.0, 0.0)"
1781385336.321,live_session,1,"(0.0, 0.0)"
1781385336.335,live_session,1,"(0.0, 0.0)"
1781385336.347,live_session,1,"(0.0, 0.0)"
1781385336.360,live_session,1,"(0.0, 0.0)"
1781385336.373,live_session,1,"(0.0, 0.0)"
1781385336.386,live_session,1,"(0.0, 0.0)"
1781385336.399,live_session,1,"(0.0, 0.0)"
1781385336.412,live_session,1,"(0.0, 0.0)"
1781385336.425,live_session,1,"(0.0, 0.0)"
1781385336.438,live_session,1,"(0.0, 0.0)"
1781385336.451,live_session,1,"(0.0, 0.0)"
1781385336.464,live_session,1,"(0.0, 0.0)"
1781385336.478,live_session,1,"(0.0, 0.0)"
1781385336.491,live_session,1,"(0.0, 0.0)"
1781385336.504,live_session,1,"(0.0, 0.0)"
1781385336.517,live_session,1,"(0.0, 0.0)"
1781385336.529,live_session,1,"(0.0, 0.0)"
1781385336.544,live_session,1,"(0.0, 0.0)"
1781385336.557,live_session,1,"(0.0, 0.0)"
1781385336.569,live_session,1,"(0.0, 0.0)"
1781385336.582,live_session,1,"(0.0, 0.0)"
1781385336.595,live_session,1,"(0.0, 0.0)"
1781385336.610,live_session,1,"(0.0, 0.0)"
1781385336.623,live_session,1,"(0.0, 0.0)"
1781385336.636,live_session,1,"(0.0, 0.0)"
1781385336.648,live_session,1,"(0.0, 0.0)"
1781385336.662,live_session,1,"(0.0, 0.0)"
1781385336.677,live_session,1,"(0.0, 0.0)"
1781385336.690,live_session,1,"(0.0, 0.0)"
1781385336.703,live_session,1,"(0.0, 0.0)"
1781385336.717,live_session,1,"(0.0, 0.0)"
1781385336.731,live_session,1,"(0.0, 0.0)"
1781385336.745,live_session,1,"(0.0, 0.0)"
1781385336.758,live_session,1,"(0.0, 0.0)"
1781385336.771,live_session,1,"(0.0, 0.0)"
1781385336.784,live_session,1,"(0.0, 0.0)"
1781385336.797,live_session,1,"(0.0, 0.0)"
